Site,Morphospecies,Stage,Wings,Obs_ID,Notes
S2_F6_P3,Whitefly,Adult,Yes,858,
S2_F6_P3,Whitefly,Adult,Yes,859,
S2_F6_P3,Whitefly,Adult,Yes,860,
S2_F6_P3,Whitefly,Adult,Yes,861,
S2_F6_P3,Whitefly,Adult,Yes,862,
S2_F6_P3,Whitefly,Adult,Yes,863,
S2_F6_P3,Whitefly,Adult,Yes,864,
S2_F6_P3,Whitefly,Adult,Yes,865,
S2_F6_P3,Whitefly,Adult,Yes,866,
S2_F6_P3,Whitefly,Adult,Yes,867,
S2_F6_P3,Whitefly,Adult,Yes,868,
S2_F6_P3,Whitefly,Adult,Yes,869,
S2_F6_P3,Whitefly,Adult,Yes,870,
S2_F6_P3,Whitefly,Adult,Yes,871,
S2_F6_P3,Whitefly,Adult,Yes,872,
S2_F6_P3,Whitefly,Adult,Yes,873,
S2_F6_P3,Whitefly,Adult,Yes,874,
S2_F6_P3,Whitefly,Adult,Yes,875,
